,West region,Rio Grande,Upper east,South east,Northwest region,Metroplex region,High Plains,Gulf coast,Central region,Capital region,Alamo region,South Texas region
Anderson,,,x,,,,,,,,,
Bastrop,,,,,,,,,,x,,
Bell,,,,,,,,,x,,,
Bexar,,,,,,,,,,,x,
Brazoria,,,,,,,,x,,,,
Brazos,,,,,,,,,x,,,
Brown,,,,,x,,,,,,,
Caldwell,,,,,,,,,,x,,
Calhoun,,,,,,,,,,,x,
Cameron,,,,,,,,,,,,x
Collin,,,,,,x,,,,,,
Comal,,,,,,,,,,,x,
Dallas,,,,,,x,,,,,,
Denton,,,,,,x,,,,,,
Ector,x,,,,,,,,,,,
El Paso,,x,,,,,,,,,,
Ellis,,,,,,x,,,,,,
Fort Bend,,,,,,,,x,,,,
Galveston,,,,,,,,x,,,,
Grimes,,,,,,,,,x,,,
Guadalupe,,,,,,,,,,,x,
Hale,,,,,,,x,,,,,
Hall,,,,,,,x,,,,,
Harris,,,,,,,,x,,,,
Hidalgo,,,,,,,,,,,,x
Hockley,,,,,,,x,,,,,
Hudspeth,,x,,,,,,,,,,
Jimwells,,,,,,,,,,,,x
Kerr,,,,,,,,,,,x,
Kleberg,,,,,,,,,,,,x
Lamb,,,,,,,x,,,,,
Lubbock,,,,,,,x,,,,,
McLennan,,,,,,,,,x,,,
Montogomery,,,,,,,,x,,,,
Nueces,,,,,,,,,,,,x
Parker,,,,,,x,,,,,,
Parmer,,,,,,,x,,,,,
Randall,,,,,,,x,,,,,
San Jacinto,,,,x,,,,,,,,
San Patricio,,,,,,,,,,,,x
Smith,,,x,,,,,,,,,
Starr,,,,,,,,,,,,x
Tarrant,,,,,,x,,,,,,
Tom Green,x,,,,,,,,,,,
Travis,,,,,,,,,,x,,
Val Verde,,,,,,,,,,,,x
Victoria,,,,,,,,,,,x,
Webb,,,,,,,,,,,,x
Willacy,,,,,,,,,,,,x
Williamson,,,,,,,,,,x,,
Wilson,,,,,,,,,,,x,
Zapata,,,,,,,,,,,,x